/RowName;/Name;/ShortDesc;/LongDesc;/Icon;/ItemClass;/BuildingClass;/VisualObject;/ActionBlueprint_Use;/MaxStackSize;/EquipLocation;/GUICategory;/ArmourValue;/ArmorType;/SoundPhysicalSurface;/WeaponType;/WeaponArcheType;/SoundTransmitterType;/KnockbackResponseWeapon;/WeaponStaminaAttackSingleBasic;/WeaponStaminaAttackSingleSpecial;/WeaponStaminaAttackDualBasic;/WeaponStaminaAttackDualSpecial;/WeaponStaminaHeavyChargedRegenModifier;/WeaponSpeedHeavyChargedModifier;/EncumbranceWeight;/ConeAngle;/ConeMaxDistance;/DamageHealthLight_OnHit;/DamageHealthHeavy_OnHit;/DamageStaminaLight_OnHit;/DamageStaminaHeavy_OnHit;/DamageHealthLight_OnBlock;/DamageHealthHeavy_OnBlock;/DamageStaminaLight_OnBlock;/DamageStaminaHeavy_OnBlock;/HarvestDamage;/WeaponUsage;/MaxAttackReach;/MinAttackReach;/MinAttackDistance;/WeaponEffectWidth;/WeaponEffectHeight;/ItemTier;/ArmorPen;/DamageConcussiveLightOnHit;/DamageConcussiveHeavyOnHit;/DamageConcussiveLightOnBlock;/DamageConcussiveHeavyOnBlock;/DamageTier;/CoolDownTime;/ReuseTime;/SelectionWeight;/KnockbackOffenseBasic;/KnockbackOffenseSpecial;/KnockbackOffenseBasicOnBlock;/KnockbackOffenseSpecialOnBlock;/KnockbackDefense;/VisualStaticMesh;/VisualSkeletalMesh;/VisualDestructibleMesh;/WeaponStatusDefault;/WeaponStatusCurrent;/WeaponStatusDecrement;/PerishRate;/PerishTo;/MaxDurability;/RepairItem1;/RepairItem1_Amount;/RepairItem1_Weight;/RepairItem2;/RepairItem2_Amount;/RepairItem2_Weight;/RepairItem3;/RepairItem3_Amount;/RepairItem3_Weight;/AffectedByDamageTiers;/BuildingPieceScore;/BuildingMaxHealth;/RepairXP;/FirstModifier;/SecondModifier;/ThirdModifier;/FourthModifier;/FoodAmount;/DrinkAmount;/BurnTime;/ItemFlags;/ItemContainerSize;/AvatarType;/DyeColourID;/WarPaintID;/StaminaCostMultiplier;/StaminaClimbingCostMultiplier;/LeavesGhostItem;/DLCPackage;/SpawnTemplateID
"51901";"NSLOCTEXT("""", ""ItemTable_51901_Name"", ""Executioner\'s Hood"")";"NSLOCTEXT("""", ""ItemTable_51901_ShortDesc"", ""A hood of thick, dark material"")";"NSLOCTEXT("""", ""ItemTable_51901_LongDesc"", ""The Executioner was once a man but cursed by the gods to walk the dunes of the Exiled Lands until repentant. This never happened, and as the Executioner became more and more corrupted, he became less and less of a man, until the corruption was all that remained.\n\nThis hood has inlaid metal sheets, providing ample protection."")";"/Game/UI/Textures/Icons/icon_cultist_hood.icon_cultist_hood";"/Game/Items/BPGameItemArmor.BPGameItemArmor_C";"None";"/Game/Items/GatheringResources/Rock1.Rock1_C";"None";1;3;"Armor";192;1000;37;"None";"None";0;FALSE;0;0;0;0;0;0;15.3100004196167;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;"Default";0;0;0;0;0;0;0;0;"None";"None";"None";0;0;0;0;0;2400;0;0;0;0;0;0;0;0;0;0;0;0;2;"NSLOCTEXT("""", ""ItemTable_51901_FirstModifier"", ""Legendary"")";"NSLOCTEXT("""", ""ItemTable_51901_SecondModifier"", ""Armor"")";"NSLOCTEXT("""", ""ItemTable_51901_ThirdModifier"", ""Heavy"")";"NSLOCTEXT("""", ""ItemTable_51901_FourthModifier"", ""Bonus Strength"")";0;0;0;65;0;"None";-1;-1;0.10000000149011612;0.4000000059604645;FALSE;"None";"None"
"51903";"NSLOCTEXT("""", ""ItemTable_51903_Name"", ""Reinforced Skelos Cultist Robe"")";"NSLOCTEXT("""", ""ItemTable_51903_ShortDesc"", ""A robe of thick, dark material"")";"NSLOCTEXT("""", ""ItemTable_51903_LongDesc"", ""<span style=\""italic\"">They were not ghosts or phantoms. They were four tall men, with shaven, vulture-like heads, and black robes that hid their feet. Their hands were concealed by their wide sleeves.</> - The People of the Black Circle\n\nThe Votaries of Skelos are a group that believes they have stumbled upon the legendary Well of Skelos, right in the midst of the Exiled Lands. They devote their time to listening for whispers from the Well, in an attempt to further their sorcerous knowledge.\n\nThey dress in black robes which serve to protect them against the searing heat of the volcano where they make their home."")";"/Game/UI/Textures/Icons/icon_cultist_robe.icon_cultist_robe";"/Game/Items/BPGameItemArmor.BPGameItemArmor_C";"None";"/Game/Items/GatheringResources/Rock1.Rock1_C";"None";1;4;"Armor";134;75;37;"None";"None";0;FALSE;0;0;0;0;0;0;18.329999923706055;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;"Default";0;0;0;0;0;0;0;0;"None";"None";"None";0;0;0;0;0;1215;0;0;0;12515;4;1;11102;25;1;0;0;0;4430;"NSLOCTEXT("""", ""ItemTable_51903_FirstModifier"", ""Legendary"")";"NSLOCTEXT("""", ""ItemTable_51903_SecondModifier"", ""Armor"")";"NSLOCTEXT("""", ""ItemTable_51903_ThirdModifier"", ""Medium"")";"NSLOCTEXT("""", ""ItemTable_51903_FourthModifier"", ""Bonus Survival"")";0;0;0;65;0;"None";-1;-1;0.08749999850988388;0.3499999940395355;FALSE;"None";"None"
"51904";"NSLOCTEXT("""", ""ItemTable_51904_Name"", ""Reinforced Skelos Cultist Hood"")";"NSLOCTEXT("""", ""ItemTable_51904_ShortDesc"", ""A hood of thick, dark material"")";"NSLOCTEXT("""", ""ItemTable_51904_LongDesc"", ""<span style=\""italic\"">They were not ghosts or phantoms. They were four tall men, with shaven, vulture-like heads, and black robes that hid their feet. Their hands were concealed by their wide sleeves.</> - The People of the Black Circle\n\nThe Votaries of Skelos are a group that believes they have stumbled upon the legendary Well of Skelos, right in the midst of the Exiled Lands. They devote their time to listening for whispers from the Well, in an attempt to further their sorcerous knowledge.\n\nThis hood covers the head and conceals the face, allowing the wearer to proceed with dark deeds in complete anonymity."")";"/Game/UI/Textures/Icons/icon_cultist_hood.icon_cultist_hood";"/Game/Items/BPGameItemArmor.BPGameItemArmor_C";"None";"/Game/Items/GatheringResources/Rock1.Rock1_C";"None";1;3;"Armor";77;75;37;"None";"None";0;FALSE;0;0;0;0;0;0;10.470000267028809;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;"Default";0;0;0;0;0;0;0;0;"None";"None";"None";0;0;0;0;0;810;0;0;0;12515;3;1;11102;25;1;0;0;0;3480;"NSLOCTEXT("""", ""ItemTable_51904_FirstModifier"", ""Legendary"")";"NSLOCTEXT("""", ""ItemTable_51904_SecondModifier"", ""Armor"")";"NSLOCTEXT("""", ""ItemTable_51904_ThirdModifier"", ""Medium"")";"NSLOCTEXT("""", ""ItemTable_51904_FourthModifier"", ""Bonus Survival"")";0;0;0;65;0;"None";-1;-1;0.05000000074505806;0.20000000298023224;FALSE;"None";"None"
"51905";"NSLOCTEXT("""", ""ItemTable_51905_Name"", ""Reinforced Skelos Cultist Handwraps"")";"NSLOCTEXT("""", ""ItemTable_51905_ShortDesc"", ""Handwraps made of a thick, dark material"")";"NSLOCTEXT("""", ""ItemTable_51905_LongDesc"", ""<span style=\""italic\"">They were not ghosts or phantoms. They were four tall men, with shaven, vulture-like heads, and black robes that hid their feet. Their hands were concealed by their wide sleeves.</> - The People of the Black Circle\n\nThe Votaries of Skelos are a group that believes they have stumbled upon the legendary Well of Skelos, right in the midst of the Exiled Lands. They devote their time to listening for whispers from the Well, in an attempt to further their sorcerous knowledge.\n\nThese handwraps provide coverage against the warmth of the volcano, while allowing the hands to remain nimble enough to work the volcanic soil that clings to the caldera."")";"/Game/UI/Textures/Icons/icon_cultist_gloves.icon_cultist_gloves";"/Game/Items/BPGameItemArmor.BPGameItemArmor_C";"None";"/Game/Items/GatheringResources/Rock1.Rock1_C";"None";1;5;"Armor";38;75;37;"None";"None";0;FALSE;0;0;0;0;0;0;5.239999771118164;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;"Default";0;0;0;0;0;0;0;0;"None";"None";"None";0;0;0;0;0;810;0;0;0;12515;2;1;11102;25;1;0;0;0;5430;"NSLOCTEXT("""", ""ItemTable_51905_FirstModifier"", ""Legendary"")";"NSLOCTEXT("""", ""ItemTable_51905_SecondModifier"", ""Armor"")";"NSLOCTEXT("""", ""ItemTable_51905_ThirdModifier"", ""Medium"")";"NSLOCTEXT("""", ""ItemTable_51905_FourthModifier"", ""Bonus Survival"")";0;0;0;65;0;"None";-1;-1;0.02500000037252903;0.10000000149011612;FALSE;"None";"None"
"51906";"NSLOCTEXT("""", ""ItemTable_51906_Name"", ""Reinforced Skelos Cultist Sandals"")";"NSLOCTEXT("""", ""ItemTable_51906_ShortDesc"", ""A pair of thick leather sandals"")";"NSLOCTEXT("""", ""ItemTable_51906_LongDesc"", ""<span style=\""italic\"">They were not ghosts or phantoms. They were four tall men, with shaven, vulture-like heads, and black robes that hid their feet. Their hands were concealed by their wide sleeves.</> - The People of the Black Circle\n\nThe Votaries of Skelos are a group that believes they have stumbled upon the legendary Well of Skelos, right in the midst of the Exiled Lands. They devote their time to listening for whispers from the Well, in an attempt to further their sorcerous knowledge.\n\nThese sandals offer good grip on the rough stone that covers the inside of the volcano. While they are not designed to withstand the extremes of the lava flows that run along the volcano floor, they still provide some protection against the scorching heat."")";"/Game/UI/Textures/Icons/icon_cultist_shoes.icon_cultist_shoes";"/Game/Items/BPGameItemArmor.BPGameItemArmor_C";"None";"/Game/Items/GatheringResources/Rock1.Rock1_C";"None";1;7;"Armor";38;75;37;"None";"None";0;FALSE;0;0;0;0;0;0;5.239999771118164;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;"Default";0;0;0;0;0;0;0;0;"None";"None";"None";0;0;0;0;0;810;0;0;0;12515;2;1;11102;25;1;0;0;0;5430;"NSLOCTEXT("""", ""ItemTable_51906_FirstModifier"", ""Legendary"")";"NSLOCTEXT("""", ""ItemTable_51906_SecondModifier"", ""Armor"")";"NSLOCTEXT("""", ""ItemTable_51906_ThirdModifier"", ""Medium"")";"NSLOCTEXT("""", ""ItemTable_51906_FourthModifier"", ""Bonus Survival"")";0;0;0;65;0;"None";-1;-1;0.02500000037252903;0.10000000149011612;FALSE;"None";"None"
"51907";"NSLOCTEXT("""", ""ItemTable_51907_Name"", ""Reinforced Skelos Cultist Skirt"")";"NSLOCTEXT("""", ""ItemTable_51907_ShortDesc"", ""A skirt of thick, dark material"")";"NSLOCTEXT("""", ""ItemTable_51907_LongDesc"", ""<span style=\""italic\"">They were not ghosts or phantoms. They were four tall men, with shaven, vulture-like heads, and black robes that hid their feet. Their hands were concealed by their wide sleeves.</> - The People of the Black Circle\n\nThe Votaries of Skelos are a group that believes they have stumbled upon the legendary Well of Skelos, right in the midst of the Exiled Lands. They devote their time to listening for whispers from the Well, in an attempt to further their sorcerous knowledge.\n\nThis skirt is often worn by cultists who work the volcanic soil to grow crops. The additional mobility provided by the skirt is useful for those who spend their days bending and crouching."")";"/Game/UI/Textures/Icons/icon_cultist_skirt.icon_cultist_skirt";"/Game/Items/BPGameItemArmor.BPGameItemArmor_C";"None";"/Game/Items/GatheringResources/Rock1.Rock1_C";"None";1;6;"Armor";96;75;37;"None";"None";0;FALSE;0;0;0;0;0;0;13.09000015258789;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;"Default";0;0;0;0;0;0;0;0;"None";"None";"None";0;0;0;0;0;1215;0;0;0;12515;4;1;11102;25;1;0;0;0;4090;"NSLOCTEXT("""", ""ItemTable_51907_FirstModifier"", ""Legendary"")";"NSLOCTEXT("""", ""ItemTable_51907_SecondModifier"", ""Armor"")";"NSLOCTEXT("""", ""ItemTable_51907_ThirdModifier"", ""Medium"")";"NSLOCTEXT("""", ""ItemTable_51907_FourthModifier"", ""Bonus Survival"")";0;0;0;65;0;"None";-1;-1;0.0625;0.25;FALSE;"None";"None"
"51995";"NSLOCTEXT("""", ""ItemTable_51995_Name"", ""Headdress of Jhebbal Sag"")";"NSLOCTEXT("""", ""ItemTable_51995_ShortDesc"", ""A formal headdress worn by Jhebbal Sag priests"")";"NSLOCTEXT("""", ""ItemTable_51995_LongDesc"", ""<span style=\""italic\"">Balthus saw a lean figure of middle height, almost hidden in ostrich plumes set on a harness of leather and copper. From amidst the plumes peered a hideous and malevolent face. The plumes puzzled Balthus. He knew their source lay half the width of a world to the south. They fluttered and rustled evilly as the shaman leaped and cavorted.</> - Beyond the Black River\n\nThe worship of Jhebbal Sag has long been forgotten by the civilized Hyborians, but his priests in the Black Kingdoms and Pictish wilderness still spread his religion through fear and violence.\n\nA large part of this is the ceremonial garb that priests don for their rituals. Ornate headdresses decorated with ostrich feathers are common - even among the Picts who trade for feathers with Zingaran pirates who carry them up from the south.\n\nDespite offering no protection, the intimidation that comes from wearing such a headdress should not be underestimated."")";"/Game/UI/Textures/Icons/icon_Pict_Priest_Mask.icon_Pict_Priest_Mask";"/Game/Items/BPGameItemArmor.BPGameItemArmor_C";"None";"/Game/Items/GatheringResources/Rock1.Rock1_C";"None";1;3;"Armor";6;10;0;"None";"None";0;FALSE;0;0;0;0;0;0;3.1500000953674316;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;"Default";0;0;0;0;0;0;0;0;"None";"None";"None";0;0;0;0;0;190;0;0;0;11058;8;1;11056;3;1;0;0;0;61;"NSLOCTEXT("""", ""ItemTable_51995_FirstModifier"", ""Low Grade"")";"NSLOCTEXT("""", ""ItemTable_51995_SecondModifier"", ""Armor"")";"NSLOCTEXT("""", ""ItemTable_51995_ThirdModifier"", ""Light"")";"";0;0;0;1;0;"None";-1;-1;0;0;FALSE;"None";"None"
"51996";"NSLOCTEXT("""", ""ItemTable_51996_Name"", ""Derketo Acolyte Headpiece"")";"NSLOCTEXT("""", ""ItemTable_51996_ShortDesc"", ""A headpiece worn by Acolytes of Derketo"")";"NSLOCTEXT("""", ""ItemTable_51996_LongDesc"", ""<span style=\""italic\"">That\'s what the black people of Kush call the Apples of Derketa. Derketa is the Queen of the Dead. Drink a little of that juice, or spill it on your flesh, and you\'d be dead before you could tumble to the foot of this crag.</> - Red Nails\n\nDerketo was originally worshipped in Shem, but was quickly adopted in Stygia and the Black Kingdoms further south.\n\nThe dual nature of Derketo is death and fertility, and as such she is often paired with the most powerful deity of the kingdom she is associated with. Derketo is the consort of Set in Stygia, but the companion of Dagon in Zembabwei. In Kush she is Derketa, Queen of the Dead, and there, she walks alone.\n\nThis ceremonial armor is designed to awe and seduce in equal measure."")";"/Game/UI/Textures/Icons/icon_derketo_mask.icon_derketo_mask";"/Game/Items/BPGameItemArmor.BPGameItemArmor_C";"None";"/Game/Items/GatheringResources/Rock1.Rock1_C";"None";1;3;"Armor";10;10;0;"None";"None";0;FALSE;0;0;0;0;0;0;2.990000009536743;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;"Default";0;0;0;0;0;0;0;0;"None";"None";"None";0;0;0;0;0;215;0;0;0;11111;1;1;12513;3;1;0;0;0;39;"NSLOCTEXT("""", ""ItemTable_51996_FirstModifier"", ""Low Grade"")";"NSLOCTEXT("""", ""ItemTable_51996_SecondModifier"", ""Armor"")";"NSLOCTEXT("""", ""ItemTable_51996_ThirdModifier"", ""Light"")";"";0;0;0;1;0;"None";-1;-1;0;0;FALSE;"None";"None"
"51997";"NSLOCTEXT("""", ""ItemTable_51997_Name"", ""Derketo Acolyte Robe"")";"NSLOCTEXT("""", ""ItemTable_51997_ShortDesc"", ""Robes worn by Acolytes of Derketo"")";"NSLOCTEXT("""", ""ItemTable_51997_LongDesc"", ""<span style=\""italic\"">That\'s what the black people of Kush call the Apples of Derketa. Derketa is the Queen of the Dead. Drink a little of that juice, or spill it on your flesh, and you\'d be dead before you could tumble to the foot of this crag.</> - Red Nails\n\nDerketo was originally worshipped in Shem, but was quickly adopted in Stygia and the Black Kingdoms further south.\n\nThe dual nature of Derketo is death and fertility, and as such she is often paired with the most powerful deity of the kingdom she is associated with. Derketo is the consort of Set in Stygia, but the companion of Dagon in Zembabwei. In Kush she is Derketa, Queen of the Dead, and there, she walks alone.\n\nThis ceremonial armor is designed to awe and seduce in equal measure."")";"/Game/UI/Textures/Icons/icon_derketo_top.icon_derketo_top";"/Game/Items/BPGameItemArmor.BPGameItemArmor_C";"None";"/Game/Items/GatheringResources/Rock1.Rock1_C";"None";1;4;"Armor";17;10;0;"None";"None";0;FALSE;0;0;0;0;0;0;5.239999771118164;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;"Default";0;0;0;0;0;0;0;0;"None";"None";"None";0;0;0;0;0;325;0;0;0;11111;1;1;12513;8;1;0;0;0;83;"NSLOCTEXT("""", ""ItemTable_51997_FirstModifier"", ""Low Grade"")";"NSLOCTEXT("""", ""ItemTable_51997_SecondModifier"", ""Armor"")";"NSLOCTEXT("""", ""ItemTable_51997_ThirdModifier"", ""Light"")";"";0;0;0;1;0;"None";-1;-1;0;0;FALSE;"None";"None"
"51998";"NSLOCTEXT("""", ""ItemTable_51998_Name"", ""Derketo Acolyte Handwraps"")";"NSLOCTEXT("""", ""ItemTable_51998_ShortDesc"", ""A pair of gloves worn by Acolytes of Derketo"")";"NSLOCTEXT("""", ""ItemTable_51998_LongDesc"", ""<span style=\""italic\"">That\'s what the black people of Kush call the Apples of Derketa. Derketa is the Queen of the Dead. Drink a little of that juice, or spill it on your flesh, and you\'d be dead before you could tumble to the foot of this crag.</> - Red Nails\n\nDerketo was originally worshipped in Shem, but was quickly adopted in Stygia and the Black Kingdoms further south.\n\nThe dual nature of Derketo is death and fertility, and as such she is often paired with the most powerful deity of the kingdom she is associated with. Derketo is the consort of Set in Stygia, but the companion of Dagon in Zembabwei. In Kush she is Derketa, Queen of the Dead, and there, she walks alone.\n\nThis ceremonial armor is designed to awe and seduce in equal measure."")";"/Game/UI/Textures/Icons/icon_derketo_gloves.icon_derketo_gloves";"/Game/Items/BPGameItemArmor.BPGameItemArmor_C";"None";"/Game/Items/GatheringResources/Rock1.Rock1_C";"None";1;5;"Armor";5;10;0;"None";"None";0;FALSE;0;0;0;0;0;0;1.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;"Default";0;0;0;0;0;0;0;0;"None";"None";"None";0;0;0;0;0;215;0;0;0;11111;1;1;12513;3;1;0;0;0;65;"NSLOCTEXT("""", ""ItemTable_51998_FirstModifier"", ""Low Grade"")";"NSLOCTEXT("""", ""ItemTable_51998_SecondModifier"", ""Armor"")";"NSLOCTEXT("""", ""ItemTable_51998_ThirdModifier"", ""Light"")";"";0;0;0;1;0;"None";-1;-1;0;0;FALSE;"None";"None"
