/RowName;/Name;/ShortDesc;/LongDesc;/Icon;/ItemClass;/BuildingClass;/VisualObject;/ActionBlueprint_Use;/MaxStackSize;/EquipLocation;/GUICategory;/ArmourValue;/ArmorType;/SoundPhysicalSurface;/WeaponType;/WeaponArcheType;/SoundTransmitterType;/KnockbackResponseWeapon;/WeaponStaminaAttackSingleBasic;/WeaponStaminaAttackSingleSpecial;/WeaponStaminaAttackDualBasic;/WeaponStaminaAttackDualSpecial;/WeaponStaminaHeavyChargedRegenModifier;/WeaponSpeedHeavyChargedModifier;/EncumbranceWeight;/ConeAngle;/ConeMaxDistance;/DamageHealthLight_OnHit;/DamageHealthHeavy_OnHit;/DamageStaminaLight_OnHit;/DamageStaminaHeavy_OnHit;/DamageHealthLight_OnBlock;/DamageHealthHeavy_OnBlock;/DamageStaminaLight_OnBlock;/DamageStaminaHeavy_OnBlock;/HarvestDamage;/WeaponUsage;/MaxAttackReach;/MinAttackReach;/MinAttackDistance;/WeaponEffectWidth;/WeaponEffectHeight;/ItemTier;/ArmorPen;/DamageConcussiveLightOnHit;/DamageConcussiveHeavyOnHit;/DamageConcussiveLightOnBlock;/DamageConcussiveHeavyOnBlock;/DamageTier;/CoolDownTime;/ReuseTime;/SelectionWeight;/KnockbackOffenseBasic;/KnockbackOffenseSpecial;/KnockbackOffenseBasicOnBlock;/KnockbackOffenseSpecialOnBlock;/KnockbackDefense;/VisualStaticMesh;/VisualSkeletalMesh;/VisualDestructibleMesh;/WeaponStatusDefault;/WeaponStatusCurrent;/WeaponStatusDecrement;/PerishRate;/PerishTo;/MaxDurability;/RepairItem1;/RepairItem1_Amount;/RepairItem1_Weight;/RepairItem2;/RepairItem2_Amount;/RepairItem2_Weight;/RepairItem3;/RepairItem3_Amount;/RepairItem3_Weight;/AffectedByDamageTiers;/BuildingPieceScore;/BuildingMaxHealth;/RepairXP;/FirstModifier;/SecondModifier;/ThirdModifier;/FourthModifier;/FoodAmount;/DrinkAmount;/BurnTime;/ItemFlags;/ItemContainerSize;/AvatarType;/DyeColourID;/WarPaintID;/StaminaCostMultiplier;/StaminaClimbingCostMultiplier;/LeavesGhostItem;/DLCPackage;/SpawnTemplateID;/CompatableAmmunitions/0
"20000";"NSLOCTEXT("""", ""ItemTable_20000_Name"", ""XX_Generic Animal Weapon"")";"NSLOCTEXT("""", ""ItemTable_20000_ShortDesc"", ""XX_Generic Animal Weapon"")";"NSLOCTEXT("""", ""ItemTable_20000_LongDesc"", ""XX_Generic Animal Weapon"")";"/Game/UI/Textures/Icons/icon_weapon_animal_DEV.icon_weapon_animal_DEV";"/Game/Items/BPGameItemWeapon.BPGameItemWeapon_C";"None";"/Game/Characters/NPCs/Cats/NPC_Weapon_Tiger.NPC_Weapon_Tiger_C";"None";1;1;"Armor";0;0;0;"None";"None";0;FALSE;0;0;0;0;0;1;0;35;250;25;20;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.029999999329447746;0;0;0;0;"Stone";0;0;0;10;10;0;0;0;"None";"None";"None";0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;"";"";"";"";0;0;0;68;0;"None";-1;-1;1;1;FALSE;"None";"None";""
"20001";"NSLOCTEXT("""", ""ItemTable_20001_Name"", ""XX_Rocknose"")";"NSLOCTEXT("""", ""ItemTable_20001_ShortDesc"", ""XX_Rocknose"")";"NSLOCTEXT("""", ""ItemTable_20001_LongDesc"", ""XX_Rocknose"")";"/Game/UI/Textures/Icons/icon_weapon_animal_DEV.icon_weapon_animal_DEV";"/Game/Items/BPGameItemWeapon.BPGameItemWeapon_C";"None";"/Game/Characters/NPCs/Hooved_Wild/NPC_Weapon_Rocknose_Rocky.NPC_Weapon_Rocknose_Rocky_C";"None";1;1;"Armor";0;0;26;"None";"None";0;FALSE;0;0;0;0;0;1;0;35;250;40;40;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.04500000178813934;0;0;0;0;"Stone";0;0;0;10;10;0;0;0;"None";"None";"None";0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;"";"";"";"";0;0;0;68;0;"None";-1;-1;1;1;FALSE;"None";"None";""
"20002";"NSLOCTEXT("""", ""ItemTable_20002_Name"", ""XX_Rhino, Grey"")";"NSLOCTEXT("""", ""ItemTable_20002_ShortDesc"", ""XX_Rhino, Grey"")";"NSLOCTEXT("""", ""ItemTable_20002_LongDesc"", ""XX_Rhino, Grey"")";"/Game/UI/Textures/Icons/icon_weapon_animal_DEV.icon_weapon_animal_DEV";"/Game/Items/BPGameItemWeapon.BPGameItemWeapon_C";"None";"/Game/Characters/NPCs/Rhino/NPC_Weapon_Rhino.NPC_Weapon_Rhino_C";"None";1;1;"Armor";0;0;26;"None";"None";0;FALSE;0;0;0;0;0;1;0;35;250;48;48;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.07500000298023224;0;0;0;0;"Stone";0;0;0;10;10;0;0;0;"None";"None";"None";0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;"";"";"";"";0;0;0;68;0;"None";-1;-1;1;1;FALSE;"None";"None";""
"20003";"NSLOCTEXT("""", ""ItemTable_20003_Name"", ""XX_Hyena, Spotted"")";"NSLOCTEXT("""", ""ItemTable_20003_ShortDesc"", ""XX_Hyena, Spotted"")";"NSLOCTEXT("""", ""ItemTable_20003_LongDesc"", ""XX_Hyena, Spotted"")";"/Game/UI/Textures/Icons/icon_weapon_animal_DEV.icon_weapon_animal_DEV";"/Game/Items/BPGameItemWeapon.BPGameItemWeapon_C";"None";"/Game/Characters/NPCs/Hyena/NPC_Weapon_Hyena.NPC_Weapon_Hyena_C";"None";1;1;"Armor";0;0;26;"None";"None";0;FALSE;0;0;0;0;0;1;0;35;250;25;20;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.029999999329447746;0;0;0;0;"Stone";0;0;0;10;10;0;0;0;"None";"None";"None";0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;"";"";"";"";0;0;0;68;0;"None";-1;-1;1;1;FALSE;"None";"None";""
"20004";"NSLOCTEXT("""", ""ItemTable_20004_Name"", ""XX_Locust, Green"")";"NSLOCTEXT("""", ""ItemTable_20004_ShortDesc"", ""XX_Locust, Green"")";"NSLOCTEXT("""", ""ItemTable_20004_LongDesc"", ""XX_Locust, Green"")";"/Game/UI/Textures/Icons/icon_weapon_animal_DEV.icon_weapon_animal_DEV";"/Game/Items/BPGameItemWeapon.BPGameItemWeapon_C";"None";"/Game/Characters/NPCs/Locust_Monster/NPC_Weapon_Locust_Green.NPC_Weapon_Locust_Green_C";"None";1;1;"Armor";0;0;26;"None";"None";0;FALSE;0;0;0;0;0;1;0;35;250;46;46;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.07500000298023224;0;0;0;0;"Iron";0;0;0;10;10;0;0;0;"None";"None";"None";0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;"";"";"";"";0;0;0;68;0;"None";-1;-1;1;1;FALSE;"None";"None";""
"20005";"NSLOCTEXT("""", ""ItemTable_20005_Name"", ""XX_Cobra"")";"NSLOCTEXT("""", ""ItemTable_20005_ShortDesc"", ""XX_Cobra"")";"NSLOCTEXT("""", ""ItemTable_20005_LongDesc"", ""XX_Cobra"")";"/Game/UI/Textures/Icons/icon_weapon_animal_DEV.icon_weapon_animal_DEV";"/Game/Items/BPGameItemWeapon.BPGameItemWeapon_C";"None";"/Game/Characters/NPCs/Cobra/NPC_Weapon_Cobra.NPC_Weapon_Cobra_C";"None";1;1;"Armor";0;0;26;"None";"None";0;FALSE;0;0;0;0;0;1;0;35;250;17;17;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.15000000596046448;0;0;0;0;"Default";0;0;0;10;10;0;0;0;"None";"None";"None";0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;"";"";"";"";0;0;0;68;0;"None";-1;-1;1;1;FALSE;"None";"None";""
"20007";"NSLOCTEXT("""", ""ItemTable_20007_Name"", ""XX_Spider, Redmouth"")";"NSLOCTEXT("""", ""ItemTable_20007_ShortDesc"", ""XX_Spider, Redmouth"")";"NSLOCTEXT("""", ""ItemTable_20007_LongDesc"", ""XX_Spider, Redmouth"")";"/Game/UI/Textures/Icons/icon_weapon_animal_DEV.icon_weapon_animal_DEV";"/Game/Items/BPGameItemWeapon.BPGameItemWeapon_C";"None";"/Game/Characters/NPCs/Spider/NPC_Weapon_Spider_RedMouth.NPC_Weapon_Spider_RedMouth_C";"None";1;1;"Armor";0;0;26;"None";"None";0;FALSE;0;0;0;0;0;1;0;35;250;30;30;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.07500000298023224;0;0;0;0;"Stone";0;0;0;10;10;0;0;0;"None";"None";"None";0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;"";"";"";"";0;0;0;68;0;"None";-1;-1;1;1;FALSE;"None";"None";""
"20008";"NSLOCTEXT("""", ""ItemTable_20008_Name"", ""XX_Kappa"")";"NSLOCTEXT("""", ""ItemTable_20008_ShortDesc"", ""XX_Kappa"")";"NSLOCTEXT("""", ""ItemTable_20008_LongDesc"", ""XX_Kappa"")";"/Game/UI/Textures/Icons/icon_weapon_animal_DEV.icon_weapon_animal_DEV";"/Game/Items/BPGameItemWeapon.BPGameItemWeapon_C";"None";"/Game/Characters/NPCs/Primates/NPC_Weapon_Kappa.NPC_Weapon_Kappa_C";"None";1;1;"Armor";0;0;26;"None";"None";0;FALSE;0;0;0;0;0;1;0;35;250;21;21;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.029999999329447746;0;0;0;0;"Stone";0;0;0;9;9;0;0;0;"None";"None";"None";0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;"";"";"";"";0;0;0;68;0;"None";-1;-1;1;1;FALSE;"None";"None";""
"20009";"NSLOCTEXT("""", ""ItemTable_20009_Name"", ""XX_Bat Demon"")";"NSLOCTEXT("""", ""ItemTable_20009_ShortDesc"", ""XX_Bat Demon"")";"NSLOCTEXT("""", ""ItemTable_20009_LongDesc"", ""XX_Bat Demon"")";"/Game/UI/Textures/Icons/icon_weapon_animal_DEV.icon_weapon_animal_DEV";"/Game/Items/BPGameItemWeapon.BPGameItemWeapon_C";"None";"/Game/Characters/NPCs/Bat_Demon/NPC_Weapon_Bat_Demon.NPC_Weapon_Bat_Demon_C";"None";1;1;"Armor";0;0;0;"None";"None";0;FALSE;0;0;0;0;0;1;0;35;250;52;52;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.07500000298023224;0;0;0;0;"Stone";0;0;0;10;10;0;0;0;"None";"None";"None";0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;"";"";"";"";0;0;0;68;0;"None";-1;-1;1;1;FALSE;"None";"None";""
"20010";"NSLOCTEXT("""", ""ItemTable_20010_Name"", ""XX_Imp"")";"NSLOCTEXT("""", ""ItemTable_20010_ShortDesc"", ""XX_Imp"")";"NSLOCTEXT("""", ""ItemTable_20010_LongDesc"", ""XX_Imp"")";"/Game/UI/Textures/Icons/icon_weapon_animal_DEV.icon_weapon_animal_DEV";"/Game/Items/BPGameItemWeapon.BPGameItemWeapon_C";"None";"/Game/Characters/NPCs/Imp/NPC_Weapon_Imp.NPC_Weapon_Imp_C";"None";1;1;"Armor";0;0;0;"None";"None";0;FALSE;0;0;0;0;0;1;0;35;250;18;18;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.014999999664723873;0;0;0;0;"Default";0;0;0;10;10;0;0;0;"None";"None";"None";0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;"";"";"";"";0;0;0;68;0;"None";-1;-1;1;1;FALSE;"None";"None";""
