/RowName;/Name;/ShortDesc;/LongDesc;/Icon;/ItemClass;/BuildingClass;/VisualObject;/ActionBlueprint_Use;/MaxStackSize;/EquipLocation;/GUICategory;/ArmourValue;/ArmorType;/SoundPhysicalSurface;/WeaponType;/WeaponArcheType;/SoundTransmitterType;/KnockbackResponseWeapon;/WeaponStaminaAttackSingleBasic;/WeaponStaminaAttackSingleSpecial;/WeaponStaminaAttackDualBasic;/WeaponStaminaAttackDualSpecial;/WeaponStaminaHeavyChargedRegenModifier;/WeaponSpeedHeavyChargedModifier;/EncumbranceWeight;/ConeAngle;/ConeMaxDistance;/DamageHealthLight_OnHit;/DamageHealthHeavy_OnHit;/DamageStaminaLight_OnHit;/DamageStaminaHeavy_OnHit;/DamageHealthLight_OnBlock;/DamageHealthHeavy_OnBlock;/DamageStaminaLight_OnBlock;/DamageStaminaHeavy_OnBlock;/HarvestDamage;/WeaponUsage;/MaxAttackReach;/MinAttackReach;/MinAttackDistance;/WeaponEffectWidth;/WeaponEffectHeight;/ItemTier;/ArmorPen;/DamageConcussiveLightOnHit;/DamageConcussiveHeavyOnHit;/DamageConcussiveLightOnBlock;/DamageConcussiveHeavyOnBlock;/DamageTier;/CoolDownTime;/ReuseTime;/SelectionWeight;/KnockbackOffenseBasic;/KnockbackOffenseSpecial;/KnockbackOffenseBasicOnBlock;/KnockbackOffenseSpecialOnBlock;/KnockbackDefense;/VisualStaticMesh;/VisualSkeletalMesh;/VisualDestructibleMesh;/WeaponStatusDefault;/WeaponStatusCurrent;/WeaponStatusDecrement;/PerishRate;/PerishTo;/MaxDurability;/RepairItem1;/RepairItem1_Amount;/RepairItem1_Weight;/RepairItem2;/RepairItem2_Amount;/RepairItem2_Weight;/RepairItem3;/RepairItem3_Amount;/RepairItem3_Weight;/AffectedByDamageTiers;/BuildingPieceScore;/BuildingMaxHealth;/RepairXP;/FirstModifier;/SecondModifier;/ThirdModifier;/FourthModifier;/FoodAmount;/DrinkAmount;/BurnTime;/ItemFlags;/ItemContainerSize;/AvatarType;/DyeColourID;/WarPaintID;/StaminaCostMultiplier;/StaminaClimbingCostMultiplier;/LeavesGhostItem;/DLCPackage;/SpawnTemplateID;/CompatableAmmunitions/0;/CompatableAmmunitions/1;/CompatableAmmunitions/2;/CompatableAmmunitions/3;/CompatableAmmunitions/4;/CompatableAmmunitions/5;/CompatableAmmunitions/6;/CompatableAmmunitions/7;/CompatableAmmunitions/8;/CompatableAmmunitions/9;/CompatableAmmunitions/10;/CompatableAmmunitions/11;/CompatableAmmunitions/12;/CompatableAmmunitions/13;/CompatableAmmunitions/14;/CompatableAmmunitions/15;/CompatableAmmunitions/16;/CompatableAmmunitions/17;/CompatableAmmunitions/18;/CompatableAmmunitions/19;/CompatableAmmunitions/20;/CompatableAmmunitions/21;/CompatableAmmunitions/22;/CompatableAmmunitions/23;/CompatableAmmunitions/24;/CompatableAmmunitions/25;/CompatableAmmunitions/26;/CompatableAmmunitions/27;/CompatableAmmunitions/28;/CompatableAmmunitions/29;/CompatableAmmunitions/30;/CompatableAmmunitions/31;/CompatableAmmunitions/32;/CompatableAmmunitions/33;/CompatableAmmunitions/34
"2782";"NSLOCTEXT("""", ""ItemTable_2782_Name"", ""Lance"")";"NSLOCTEXT("""", ""ItemTable_2782_ShortDesc"", ""A long, pole-like weapon with a sharpened end"")";"NSLOCTEXT("""", ""ItemTable_2782_LongDesc"", ""<span style=\""italic\""> There were the knights, gleaming in richly wrought plate-armor, colored plumes waving above their burnished sallets. Their steeds, caparisoned with silk, lacquered leather and gold buckles, caracoled and curvetted as their riders put them through their paces. The early light struck glints from lance-points that rose like a forest above the array, their pennons flowing in the breeze.</> - Black Colossus\n\nLances are the shock weapon of the cavalry charge and they have the ability to break armies at the first engagement.\nDespite being heavy and unwieldy, lances are always the first choice of weapon for cavalry (with the exception of the uniquely talented Hyrkanian horse archers).\n\nTrue bravery is the ability to stand and face a cavalry charge - a bristling forest of lances being driven towards the line by hard-faced men on screaming horses.\n\nLances rarely survive first contact, breaking or splintering or being lodged through the chest of a foe. Most cavalry carry a secondary weapon into battle for this reason."")";"/Game/UI/Textures/Icons/Icon_basic_lance.Icon_basic_lance";"/Game/Items/BPGameItemWeapon.BPGameItemWeapon_C";"None";"/Game/Items/Weapons/Lance/BP_Visual_LanceBase.BP_Visual_LanceBase_C";"None";1;8;"Weapon";0;0;0;"Spear2H";"TwoHanded";35;FALSE;10;15;0;0;1;35;7.880000114440918;250;0;39;39;0;0;0;0;0;0;0;33;300;175;0;0;0;1;0;0;0;0;0;"Iron";0;0;0;10;10;0;0;0;"/Game/Items/Weapons/Lance/SM_1h_lance_basic.SM_1h_lance_basic";"None";"/Game/Items/Weapons/Lance/SM_1h_lance_basic_DM.SM_1h_lance_basic_DM";0;0;0;0;0;60;16021;6;1;11501;11;1;0;0;0;0;0;0;1002;"NSLOCTEXT("""", ""ItemTable_2782_FirstModifier"", ""Mid Grade"")";"NSLOCTEXT("""", ""ItemTable_2782_SecondModifier"", ""Weapon"")";"NSLOCTEXT("""", ""ItemTable_2782_ThirdModifier"", ""Reach"")";"";0;0;0;65;0;"None";-1;-1;1;1;FALSE;"None";"None";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2783";"NSLOCTEXT("""", ""ItemTable_2783_Name"", ""Exceptional Lance"")";"NSLOCTEXT("""", ""ItemTable_2783_ShortDesc"", ""A long, pole-like weapon with a sharpened end"")";"NSLOCTEXT("""", ""ItemTable_2783_LongDesc"", ""<span style=\""italic\""> There were the knights, gleaming in richly wrought plate-armor, colored plumes waving above their burnished sallets. Their steeds, caparisoned with silk, lacquered leather and gold buckles, caracoled and curvetted as their riders put them through their paces. The early light struck glints from lance-points that rose like a forest above the array, their pennons flowing in the breeze.</> - Black Colossus\n\nLances are the shock weapon of the cavalry charge and they have the ability to break armies at the first engagement.\nDespite being heavy and unwieldy, lances are always the first choice of weapon for cavalry (with the exception of the uniquely talented Hyrkanian horse archers).\n\nTrue bravery is the ability to stand and face a cavalry charge - a bristling forest of lances being driven towards the line by hard-faced men on screaming horses.\n\nLances rarely survive first contact, breaking or splintering or being lodged through the chest of a foe. Most cavalry carry a secondary weapon into battle for this reason."")";"/Game/UI/Textures/Icons/Icon_basic_lance.Icon_basic_lance";"/Game/Items/BPGameItemWeapon.BPGameItemWeapon_C";"None";"/Game/Items/Weapons/Lance/BP_Visual_LanceBase.BP_Visual_LanceBase_C";"None";1;8;"Weapon";0;0;0;"Spear2H";"TwoHanded";35;FALSE;10;15;0;0;1;35;7.440000057220459;250;0;41;41;0;0;0;0;0;0;0;33;300;175;0;0;0;1;0;0;0;0;0;"Iron";0;0;0;10;10;0;0;0;"/Game/Items/Weapons/Lance/SM_1h_lance_basic.SM_1h_lance_basic";"None";"/Game/Items/Weapons/Lance/SM_1h_lance_basic_DM.SM_1h_lance_basic_DM";0;0;0;0;0;65;16021;7;1;11501;12;1;0;0;0;0;0;0;1128;"NSLOCTEXT("""", ""ItemTable_2783_FirstModifier"", ""Mid Grade Exceptional"")";"NSLOCTEXT("""", ""ItemTable_2783_SecondModifier"", ""Weapon"")";"NSLOCTEXT("""", ""ItemTable_2783_ThirdModifier"", ""Reach"")";"";0;0;0;65;0;"None";-1;-1;1;1;FALSE;"None";"None";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"51715";"NSLOCTEXT("""", ""ItemTable_51715_Name"", ""Stone Pike"")";"NSLOCTEXT("""", ""ItemTable_51715_ShortDesc"", ""A dubiously crafted stone pike"")";"NSLOCTEXT("""", ""ItemTable_51715_LongDesc"", ""<span style=\""italic\""> Well, the folk of the city can\'t help us just now. And they might not, if they could. The people of the Black Countries are generally hostile to strangers. Probably stick us full of spears.</> - Red Nails\n\nWith superior reach the pike is a common weapon on the battlefields of Hyboria. The most effective use of the pike is from behind the lines of battle, thrusting into the gaps in a shield wall.\n\nThis pike is heavy on one end and difficult to aim. The scavenged materials used in its manufacture will deteriorate quickly, making this a thrust-and-bust weapon.\n\nThe thick haft and weighted end mean that the pike must be wielded in two hands."")";"/Game/UI/Textures/Icons/icon_stone_pike.icon_stone_pike";"/Game/Items/BPGameItemWeapon.BPGameItemWeapon_C";"None";"/Game/Items/Weapons/Spear2h/BP_spear_2h.BP_spear_2h_C";"None";1;8;"Weapon";0;0;8;"Spear2H";"TwoHanded";17;FALSE;8;11;0;0;0;1;3.5;35;250;40;40;0;0;0;0;0;0;0;33;300;175;0;0;0;1;0.08100000023841858;0;0;0;0;"Stone";0;0;0;10;10;0;0;0;"/Game/Items/Weapons/Spear2h/SM_2h_Stone_spear.SM_2h_Stone_spear";"None";"/Game/Items/Weapons/Spear2h/SM_2h_Stone_spear_DM.SM_2h_Stone_spear_DM";0;0;0;0;0;280;0;0;0;10001;23;1;0;0;0;0;0;0;57;"NSLOCTEXT("""", ""ItemTable_51715_FirstModifier"", ""Low Grade"")";"NSLOCTEXT("""", ""ItemTable_51715_SecondModifier"", ""Weapon"")";"NSLOCTEXT("""", ""ItemTable_51715_ThirdModifier"", ""Reach"")";"";0;0;0;65;0;"None";-1;-1;1;1;FALSE;"None";"None";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2784";"NSLOCTEXT("""", ""ItemTable_2784_Name"", ""Flawless Lance"")";"NSLOCTEXT("""", ""ItemTable_2784_ShortDesc"", ""A long, pole-like weapon with a sharpened end"")";"NSLOCTEXT("""", ""ItemTable_2784_LongDesc"", ""<span style=\""italic\""> There were the knights, gleaming in richly wrought plate-armor, colored plumes waving above their burnished sallets. Their steeds, caparisoned with silk, lacquered leather and gold buckles, caracoled and curvetted as their riders put them through their paces. The early light struck glints from lance-points that rose like a forest above the array, their pennons flowing in the breeze.</> - Black Colossus\n\nLances are the shock weapon of the cavalry charge and they have the ability to break armies at the first engagement.\nDespite being heavy and unwieldy, lances are always the first choice of weapon for cavalry (with the exception of the uniquely talented Hyrkanian horse archers).\n\nTrue bravery is the ability to stand and face a cavalry charge - a bristling forest of lances being driven towards the line by hard-faced men on screaming horses.\n\nLances rarely survive first contact, breaking or splintering or being lodged through the chest of a foe. Most cavalry carry a secondary weapon into battle for this reason."")";"/Game/UI/Textures/Icons/Icon_basic_lance.Icon_basic_lance";"/Game/Items/BPGameItemWeapon.BPGameItemWeapon_C";"None";"/Game/Items/Weapons/Lance/BP_Visual_LanceBase.BP_Visual_LanceBase_C";"None";1;8;"Weapon";0;0;0;"Spear2H";"TwoHanded";35;FALSE;10;15;0;0;1;35;7;250;0;42;42;0;0;0;0;0;0;0;33;300;175;0;0;0;1;0;0;0;0;0;"Iron";0;0;0;10;10;0;0;0;"/Game/Items/Weapons/Lance/SM_1h_lance_basic.SM_1h_lance_basic";"None";"/Game/Items/Weapons/Lance/SM_1h_lance_basic_DM.SM_1h_lance_basic_DM";0;0;0;0;0;70;16021;8;1;11501;14;1;0;0;0;0;0;0;1254;"NSLOCTEXT("""", ""ItemTable_2784_FirstModifier"", ""Mid Grade Flawless"")";"NSLOCTEXT("""", ""ItemTable_2784_SecondModifier"", ""Weapon"")";"NSLOCTEXT("""", ""ItemTable_2784_ThirdModifier"", ""Reach"")";"";0;0;0;65;0;"None";-1;-1;1;1;FALSE;"None";"None";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2785";"NSLOCTEXT("""", ""ItemTable_2785_Name"", ""Strong Lance"")";"NSLOCTEXT("""", ""ItemTable_2785_ShortDesc"", ""A long, pole-like weapon with a sharpened end"")";"NSLOCTEXT("""", ""ItemTable_2785_LongDesc"", ""<span style=\""italic\""> There were the knights, gleaming in richly wrought plate-armor, colored plumes waving above their burnished sallets. Their steeds, caparisoned with silk, lacquered leather and gold buckles, caracoled and curvetted as their riders put them through their paces. The early light struck glints from lance-points that rose like a forest above the array, their pennons flowing in the breeze.</> - Black Colossus\n\nLances are the shock weapon of the cavalry charge and they have the ability to break armies at the first engagement.\nDespite being heavy and unwieldy, lances are always the first choice of weapon for cavalry (with the exception of the uniquely talented Hyrkanian horse archers).\n\nTrue bravery is the ability to stand and face a cavalry charge - a bristling forest of lances being driven towards the line by hard-faced men on screaming horses.\n\nLances rarely survive first contact, breaking or splintering or being lodged through the chest of a foe. Most cavalry carry a secondary weapon into battle for this reason."")";"/Game/UI/Textures/Icons/epic_icon_basic_lance.epic_icon_basic_lance";"/Game/Items/BPGameItemWeapon.BPGameItemWeapon_C";"None";"/Game/Items/Weapons/Lance/BP_Visual_LanceBase.BP_Visual_LanceBase_C";"None";1;8;"Weapon";0;0;0;"Spear2H";"TwoHanded";35;FALSE;10;15;0;0;1;35;7;250;0;42;42;0;0;0;0;0;0;0;33;300;175;0;0;0;2;0;0;0;0;0;"Iron";0;0;0;10;10;0;0;0;"/Game/Items/Weapons/Lance/SM_1h_lance_basic.SM_1h_lance_basic";"None";"/Game/Items/Weapons/Lance/SM_1h_lance_basic_DM.SM_1h_lance_basic_DM";0;0;0;0;0;130;0;0;0;18061;15;1;0;0;0;0;0;0;8760;"NSLOCTEXT("""", ""ItemTable_2785_FirstModifier"", ""High Grade"")";"NSLOCTEXT("""", ""ItemTable_2785_SecondModifier"", ""Weapon"")";"NSLOCTEXT("""", ""ItemTable_2785_ThirdModifier"", ""Reach"")";"";0;0;0;65;0;"None";-1;-1;1;1;FALSE;"None";"None";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"51711";"NSLOCTEXT("""", ""ItemTable_51711_Name"", ""Iron Pike"")";"NSLOCTEXT("""", ""ItemTable_51711_ShortDesc"", ""A broad-headed iron pike"")";"NSLOCTEXT("""", ""ItemTable_51711_LongDesc"", ""<span style=\""italic\"">- Bracing their feet in the wallowing sea of blood whose crimson waves lapped about their ankles, the pikemen in the Pass mouth drove forward, crushing strongly against the milling ranks before them.</> - Black Colossus\n\nWith superior reach the pike is a common weapon on the battlefields of Hyboria. The most effective use of the pike is from behind the lines of battle, thrusting into the gaps in a shield wall.\n\nStygian hunters carry great broad-headed pikes to kill off the larger creatures that they encounter a commonly used but incredibly dangerous tactic is to goad the creature into charging while bracing the pike against the ground.\n\nThe thick haft and weighted end mean that the pike must be wielded in two hands."")";"/Game/UI/Textures/Icons/icon_long_spear-1.icon_long_spear-1";"/Game/Items/BPGameItemWeapon.BPGameItemWeapon_C";"None";"/Game/Items/Weapons/Spear2h/BP_spear_2h.BP_spear_2h_C";"None";1;8;"Weapon";0;0;8;"Spear2H";"TwoHanded";18;FALSE;8;11;0;0;0;1;3.940000057220459;35;250;42;42;0;0;0;0;0;0;0;33;300;175;0;0;0;2;0.08100000023841858;0;0;0;0;"Iron";0;0;0;10;10;0;0;0;"/Game/Items/Weapons/Spear2h/SM_pike_iron1.SM_pike_iron1";"None";"/Game/Items/Weapons/Spear2h/SM_pike_iron1_DM.SM_pike_iron1_DM";0;0;0;0;0;840;0;0;0;11501;23;1;0;0;0;0;0;0;204;"NSLOCTEXT("""", ""ItemTable_51711_FirstModifier"", ""Mid Grade"")";"NSLOCTEXT("""", ""ItemTable_51711_SecondModifier"", ""Weapon"")";"NSLOCTEXT("""", ""ItemTable_51711_ThirdModifier"", ""Reach"")";"";0;0;0;65;0;"None";-1;-1;1;1;FALSE;"None";"None";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"51172";"NSLOCTEXT("""", ""ItemTable_51172_Name"", ""Exceptional Iron Pike"")";"NSLOCTEXT("""", ""ItemTable_51172_ShortDesc"", ""A broad-headed iron pike"")";"NSLOCTEXT("""", ""ItemTable_51172_LongDesc"", ""<span style=\""italic\"">- Bracing their feet in the wallowing sea of blood whose crimson waves lapped about their ankles, the pikemen in the Pass mouth drove forward, crushing strongly against the milling ranks before them.</> - Black Colossus\n\nWith superior reach the pike is a common weapon on the battlefields of Hyboria. The most effective use of the pike is from behind the lines of battle, thrusting into the gaps in a shield wall.\n\nStygian hunters carry great broad-headed pikes to kill off the larger creatures that they encounter a commonly used but incredibly dangerous tactic is to goad the creature into charging while bracing the pike against the ground.\n\nThe thick haft and weighted end mean that the pike must be wielded in two hands."")";"/Game/UI/Textures/Icons/icon_long_spear-1.icon_long_spear-1";"/Game/Items/BPGameItemWeapon.BPGameItemWeapon_C";"None";"/Game/Items/Weapons/Spear2h/BP_spear_2h.BP_spear_2h_C";"None";1;8;"Weapon";0;0;8;"Spear2H";"TwoHanded";18;FALSE;8;11;0;0;0;1;3.7200000286102295;35;250;43;43;0;0;0;0;0;0;0;33;300;175;0;0;0;2;0.08550000190734863;0;0;0;0;"Iron";0;0;0;10;10;0;0;0;"/Game/Items/Weapons/Spear2h/SM_pike_iron1.SM_pike_iron1";"None";"/Game/Items/Weapons/Spear2h/SM_pike_iron1_DM.SM_pike_iron1_DM";0;0;0;0;0;910;0;0;0;11501;26;1;0;0;0;0;0;0;231;"NSLOCTEXT("""", ""ItemTable_51172_FirstModifier"", ""Mid Grade Exceptional"")";"NSLOCTEXT("""", ""ItemTable_51172_SecondModifier"", ""Weapon"")";"NSLOCTEXT("""", ""ItemTable_51172_ThirdModifier"", ""Reach"")";"";0;0;0;65;0;"None";-1;-1;1;1;FALSE;"None";"None";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"51189";"NSLOCTEXT("""", ""ItemTable_51189_Name"", ""Iron Corseque"")";"NSLOCTEXT("""", ""ItemTable_51189_ShortDesc"", ""A broad-headed iron pike"")";"NSLOCTEXT("""", ""ItemTable_51189_LongDesc"", ""<span style=\""italic\"">Bracing their feet in the wallowing sea of blood whose crimson waves lapped about their ankles, the pikemen in the Pass mouth drove forward, crushing strongly against the milling ranks before them.</> - Black Colossus\n\nWith superior reach the pike is a common weapon on the battlefields of Hyboria. The most effective use of the pike is from behind the lines of battle, thrusting into the gaps in a shield wall.\n\nStygian hunters carry great broad-headed pikes to kill off the larger creatures that they encounter a commonly used but incredibly dangerous tactic is to goad the creature into charging while bracing the pike against the ground.\n\nThe thick haft and weighted end mean that the pike must be wielded in two hands."")";"/Game/UI/Textures/Icons/icon_iron_spear_improved.icon_iron_spear_improved";"/Game/Items/BPGameItemWeapon.BPGameItemWeapon_C";"None";"/Game/Items/Weapons/Spear2h/BP_spear_2h.BP_spear_2h_C";"None";1;8;"Weapon";0;0;0;"Spear2H";"TwoHanded";18;FALSE;8;11;0;0;0;1;3.940000057220459;35;250;42;42;0;0;0;0;0;0;0;33;300;175;0;0;0;2;0.08100000023841858;0;0;0;0;"Iron";0;0;0;10;10;0;0;0;"/Game/Items/Weapons/Spear/SM_iron_spear_improved.SM_iron_spear_improved";"None";"/Game/Items/Weapons/Spear/SM_iron_spear_improved_DM.SM_iron_spear_improved_DM";0;0;0;0;0;840;0;0;0;11501;15;1;0;0;0;0;0;0;135;"NSLOCTEXT("""", ""ItemTable_51189_FirstModifier"", ""Mid Grade"")";"NSLOCTEXT("""", ""ItemTable_51189_SecondModifier"", ""Weapon"")";"NSLOCTEXT("""", ""ItemTable_51189_ThirdModifier"", ""Reach"")";"";0;0;0;65;0;"None";-1;-1;1;1;FALSE;"None";"None";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"51173";"NSLOCTEXT("""", ""ItemTable_51173_Name"", ""Flawless Iron Pike"")";"NSLOCTEXT("""", ""ItemTable_51173_ShortDesc"", ""A broad-headed iron pike"")";"NSLOCTEXT("""", ""ItemTable_51173_LongDesc"", ""<span style=\""italic\"">- Bracing their feet in the wallowing sea of blood whose crimson waves lapped about their ankles, the pikemen in the Pass mouth drove forward, crushing strongly against the milling ranks before them.</> - Black Colossus\n\nWith superior reach the pike is a common weapon on the battlefields of Hyboria. The most effective use of the pike is from behind the lines of battle, thrusting into the gaps in a shield wall.\n\nStygian hunters carry great broad-headed pikes to kill off the larger creatures that they encounter a commonly used but incredibly dangerous tactic is to goad the creature into charging while bracing the pike against the ground.\n\nThe thick haft and weighted end mean that the pike must be wielded in two hands."")";"/Game/UI/Textures/Icons/icon_long_spear-1.icon_long_spear-1";"/Game/Items/BPGameItemWeapon.BPGameItemWeapon_C";"None";"/Game/Items/Weapons/Spear2h/BP_spear_2h.BP_spear_2h_C";"None";1;8;"Weapon";0;0;8;"Spear2H";"TwoHanded";20;FALSE;8;11;0;0;0;1;3.5;35;250;45;45;0;0;0;0;0;0;0;33;300;175;0;0;0;2;0.09000000357627869;0;0;0;0;"Iron";0;0;0;10;10;0;0;0;"/Game/Items/Weapons/Spear2h/SM_pike_iron1.SM_pike_iron1";"None";"/Game/Items/Weapons/Spear2h/SM_pike_iron1_DM.SM_pike_iron1_DM";0;0;0;0;0;980;0;0;0;11501;30;1;0;0;0;0;0;0;270;"NSLOCTEXT("""", ""ItemTable_51173_FirstModifier"", ""Mid Grade Flawless"")";"NSLOCTEXT("""", ""ItemTable_51173_SecondModifier"", ""Weapon"")";"NSLOCTEXT("""", ""ItemTable_51173_ThirdModifier"", ""Reach"")";"";0;0;0;65;0;"None";-1;-1;1;1;FALSE;"None";"None";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"51931";"NSLOCTEXT("""", ""ItemTable_51931_Name"", ""Stygian Spear"")";"NSLOCTEXT("""", ""ItemTable_51931_ShortDesc"", ""An ornate pike made in the Stygian style"")";"NSLOCTEXT("""", ""ItemTable_51931_LongDesc"", ""<span style=\""italic\"">The horde had formed into a huge wedge, of which the tip was the Stygians and the body, the mailed asshuri, flanked by the nomads. In close formation, shields lifted, they rolled onward, while behind them a tall figure in a motionless chariot lifted wide-robed arms in grisly invocation.</> - Black Colossus\n\nThe Stygian armies are famed for using chariots into battle. This frees their hands to use either the bow or the spear to great effect.\n\nThe Stygian spear is heavy, two handed, and bronze tipped. Wielded with the momentum of a charging chariot it is devastating to infantry and cavalry alike.\n\nStygian hunters use the broad bladed spears to hunt lions and rhinoceros on the rocky plains around the Styx river."")";"/Game/UI/Textures/Icons/icon_stygian_bronze_spear.icon_stygian_bronze_spear";"/Game/Items/BPGameItemWeapon.BPGameItemWeapon_C";"None";"/Game/Items/Weapons/Spear2h/BP_spear_2h.BP_spear_2h_C";"None";1;8;"Weapon";0;0;8;"Spear2H";"TwoHanded";17;FALSE;8;11;0;0;0;1;3.940000057220459;35;250;43;43;0;0;0;0;0;0;0;33;300;175;0;0;0;2;0.08100000023841858;0;0;0;0;"Stone";0;0;0;10;10;0;0;0;"/Game/Items/Weapons/Spear2h/SM_spear_bronze1_stygian.SM_spear_bronze1_stygian";"None";"/Game/Items/Weapons/Spear2h/SM_spear_bronze1_stygian_DM.SM_spear_bronze1_stygian_DM";0;0;0;0;0;840;11501;23;1;0;0;0;0;0;0;0;0;0;204;"NSLOCTEXT("""", ""ItemTable_51931_FirstModifier"", ""Mid Grade"")";"NSLOCTEXT("""", ""ItemTable_51931_SecondModifier"", ""Weapon"")";"NSLOCTEXT("""", ""ItemTable_51931_ThirdModifier"", ""Reach"")";"";0;0;0;65;0;"None";-1;-1;1;1;FALSE;"None";"None";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
